Title,Year,Rating,Poster,Quote,Type,Verified
The Prestige,2006,8.2,https://image.tmdb.org/t/p/w342/pvSESD7ujxWZwtYDb9l57qE0ywq.jpg,,live-action,y
Interstellar,2014,8.3,https://image.tmdb.org/t/p/w342/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,,live-action,y
Arrival,2016,7.5,https://image.tmdb.org/t/p/w342/x2FJsf1ElAgr63Y3PNPtJrcmpoe.jpg,,live-action,y
Inception,2010,8.3,https://image.tmdb.org/t/p/w342/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,,live-action,y
Avengers: Endgame,2019,8.3,https://image.tmdb.org/t/p/w342/or06FN3Dka5tukK1e9sl16pB3iy.jpg,,live-action,y
The Dark Knight,2008,8.5,https://image.tmdb.org/t/p/w342/qJ2tW6WMUDux911r6m7haRef0WH.jpg,,live-action,y
Your Name.,2016,8.6,https://image.tmdb.org/t/p/w342/q719jXXEzOoYaps6babgKnONONX.jpg,,animation,y
Inglourious Basterds,2009,8.2,https://image.tmdb.org/t/p/w342/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,,live-action,y
Paprika,2006,7.8,https://image.tmdb.org/t/p/w342/dJI2FSs3qfEPW82cWYfIaV8cVmN.jpg,,animation,y
Inside Out,2015,7.9,https://image.tmdb.org/t/p/w342/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg,,animation,y
WALL·E,2008,8.0,https://image.tmdb.org/t/p/w342/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,,animation,y
Zootopia,2016,7.7,https://image.tmdb.org/t/p/w342/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,,animation,y
A Quiet Place,2018,7.3,https://image.tmdb.org/t/p/w342/nAU74GmpUk7t5iklEp3bufwDq4n.jpg,,live-action,y
How to Train Your Dragon,2010,7.8,https://image.tmdb.org/t/p/w342/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,,animation,y
Like Stars on Earth,2007,8.0,https://image.tmdb.org/t/p/w342/wEHkOBcvEiNZpFU1O3HbZLoKSaE.jpg,,live-action,y
3 Idiots,2009,7.9,https://image.tmdb.org/t/p/w342/k1iWMypGjk1b59oCHLtyfd4hw99.jpg,,live-action,y
Tremors,1990,6.8,https://image.tmdb.org/t/p/w342/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg,,live-action,y
The Orphanage,2007,7.2,https://image.tmdb.org/t/p/w342/6jCBJjVP72swDWFnpGDyN4W39qv.jpg,,live-action,y
Big Hero 6,2014,7.8,https://image.tmdb.org/t/p/w342/2mxS4wUimwlLmI1xp6QW6NSU361.jpg,,animation,
